City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
441,Hobyo,SO,81.03,5.3505,48.5268,
443,Marawi,PH,76.8,7.9986,124.2928,
444,Bogale,MM,85.95,16.2833,95.4,
445,Agadez,NE,80.1,19.75,10.25,
447,Jasper,US,84.97,37.2001,-94.3502,
449,Mitchell,US,78.78,43.7094,-98.0298,
450,Pasni,PK,87.19,25.2631,63.471,
451,Niigata,JP,82.35,37.9022,139.0236,
454,Nola,IT,80.38,40.922,14.5329,
456,Dongsheng,CN,83.17,39.8161,109.9776,
457,Kaspiyskiy,RU,85.62,45.3929,47.3707,
465,Acheng,CN,75.51,45.5454,126.977,
470,Lohardaga,IN,85.87,23.4333,84.6833,
472,Luocheng,CN,84.49,29.3848,104.0286,
473,Sulina,RO,77.68,45.1559,29.6536,
474,Veshenskaya,RU,81.97,49.6303,41.7334,
476,Heze,CN,77.94,35.2431,115.4411,
479,Mykhaylivka,UA,80.44,47.2724,35.2224,
481,Palauig,PH,84.0,15.435,119.9045,
486,Lakatoro,VU,77.09,-16.0999,167.4164,
489,Daru,PG,77.07,-9.0763,143.2092,
496,Maracaibo,VE,79.12,10.6317,-71.6406,
498,Celestun,MX,78.84,20.8667,-90.4,
500,Lubbock,US,84.15,33.6001,-101.8338,
501,Morehead,US,79.0,37.2711,-87.1764,
507,Tuy Hoa,VN,88.3,13.0833,109.3,
508,Banjar,ID,84.92,-8.19,114.9675,
509,Neral,IN,83.82,19.0333,73.3167,
512,Almaznyy,RU,78.66,48.0448,40.045,
513,Garowe,SO,81.32,8.4054,48.4845,
517,Havelock,US,80.58,34.8791,-76.9013,
518,Natal,BR,75.42,-5.795,-35.2094,
520,Bathsheba,BB,81.21,13.2167,-59.5167,
522,Netivot,IL,76.6,31.4222,34.5886,
524,Santiago De Cuba,CU,78.91,20.0247,-75.8219,
525,Sakakah,SA,85.57,29.9697,40.2064,
526,Frontera,MX,82.33,26.9333,-101.45,
528,Maningrida,AU,80.69,-12.0667,134.2667,
533,Sergeyevka,KZ,79.25,53.88,67.4158,
