City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Description
59,Salalah,100,OM,2022-07-17 17:42:26,94,17.0151,54.0924,78.89,8.05,overcast clouds
60,Shenjiamen,100,CN,2022-07-17 17:45:11,97,29.9576,122.298,76.51,4.83,overcast clouds
61,Puerto Ayora,74,EC,2022-07-17 17:45:11,87,-0.7393,-90.3518,75.16,5.01,broken clouds
62,Samana,20,DO,2022-07-17 17:45:12,74,19.2056,-69.3369,88.02,13.8,few clouds
63,Port Lincoln,99,AU,2022-07-17 17:45:12,53,-34.7333,135.8667,53.73,8.97,overcast clouds
64,Knyaze-Volkonskoye,100,RU,2022-07-17 17:45:13,90,48.4642,135.4567,68.34,2.46,overcast clouds
65,Akyab,69,MM,2022-07-17 17:45:13,82,20.15,92.9,82.6,11.99,broken clouds
66,Khatanga,100,RU,2022-07-17 17:45:13,62,71.9667,102.5,57.81,5.06,overcast clouds
67,Vaxjo,0,SE,2022-07-17 17:45:14,49,56.8777,14.8091,68.05,12.66,clear sky
68,Tiznit,1,MA,2022-07-17 17:45:14,47,29.5833,-9.5,82.42,5.79,clear sky
69,Tacuarembo,0,UY,2022-07-17 17:42:05,59,-31.7333,-55.9833,53.1,7.58,clear sky
70,Tombouctou,98,ML,2022-07-17 17:45:15,19,20.0,-3.0,105.31,7.34,overcast clouds
71,Mandan,0,US,2022-07-17 17:45:15,53,46.8267,-100.8896,95.36,8.05,clear sky
72,Salinopolis,50,BR,2022-07-17 17:45:15,71,-0.6136,-47.3561,83.7,11.21,scattered clouds
73,Mar Del Plata,0,AR,2022-07-17 17:45:16,40,-38.0023,-57.5575,60.1,19.57,clear sky
74,Albany,37,US,2022-07-17 17:42:53,45,42.6001,-73.9662,90.03,1.99,scattered clouds
75,Acapulco,94,MX,2022-07-17 17:45:16,62,16.8634,-99.8901,86.36,5.93,overcast clouds
76,Nakhon Thai,75,TH,2022-07-17 17:45:17,89,17.1006,100.8374,77.94,1.25,broken clouds
77,Bogorodskoye,100,RU,2022-07-17 17:45:17,74,56.55,37.8833,58.71,1.12,light rain
78,Atuona,21,PF,2022-07-17 17:45:18,77,-9.8,-139.0333,77.95,21.03,few clouds
79,Sao Joao Da Barra,87,BR,2022-07-17 17:45:10,71,-21.6403,-41.0511,87.89,17.76,overcast clouds
80,Castro,100,BR,2022-07-17 17:45:18,68,-24.7911,-50.0119,67.53,2.04,overcast clouds
81,New Norfolk,92,AU,2022-07-17 17:45:18,75,-42.7826,147.0587,38.7,4.0,overcast clouds
82,Regina,20,CA,2022-07-17 17:40:38,58,50.4501,-104.6178,88.03,5.75,few clouds
83,Komsomolskiy,0,UZ,2022-07-17 17:45:19,32,40.4272,71.7189,84.92,4.61,clear sky
84,North Bend,0,US,2022-07-17 17:45:19,78,43.4065,-124.2243,73.24,12.66,clear sky
85,Hobart,100,AU,2022-07-17 17:41:20,83,-42.8794,147.3294,39.06,8.05,overcast clouds
86,Bony,0,HU,2022-07-17 17:45:20,22,47.65,17.8698,79.05,8.05,clear sky
87,Quatre Cocos,53,MU,2022-07-17 17:45:20,65,-20.2078,57.7625,69.91,22.46,broken clouds
88,Meulaboh,66,ID,2022-07-17 17:45:21,86,4.1363,96.1285,77.72,2.75,broken clouds
89,Sabang,75,ID,2022-07-17 17:45:21,75,5.8933,95.3214,82.24,6.46,broken clouds
90,Bluff,87,NZ,2022-07-17 17:45:21,67,-46.6,168.3333,51.8,20.65,overcast clouds
91,Vila Do Maio,33,CV,2022-07-17 17:45:22,81,15.1333,-23.2167,83.19,20.96,scattered clouds
92,Vaini,20,TO,2022-07-17 17:45:22,83,-21.2,-175.2,73.56,6.91,few clouds
93,Provideniya,100,RU,2022-07-17 17:46:22,95,64.3833,-173.3,51.15,6.33,overcast clouds
94,Cidreira,14,BR,2022-07-17 17:46:23,62,-30.1811,-50.2056,57.7,12.8,few clouds
95,Buala,68,SB,2022-07-17 17:46:23,82,-8.145,159.5921,79.0,8.12,broken clouds
96,Guerrero Negro,3,MX,2022-07-17 17:46:24,51,27.9769,-114.0611,77.9,9.04,clear sky
97,Ixtapa,75,MX,2022-07-17 17:46:24,78,20.7,-105.2,84.22,3.44,broken clouds
98,Chuy,0,UY,2022-07-17 17:46:24,62,-33.6971,-53.4616,52.18,12.55,clear sky
99,Santo Antonio Do Ica,15,BR,2022-07-17 17:46:25,45,-3.1022,-67.9397,93.04,5.64,few clouds
100,Mossendjo,15,CG,2022-07-17 17:46:25,60,-2.9506,12.7261,74.14,3.11,few clouds
101,Lompoc,0,US,2022-07-17 17:46:26,84,34.6391,-120.4579,89.02,8.05,clear sky
102,Hilo,100,US,2022-07-17 17:45:23,89,19.7297,-155.09,87.28,5.75,overcast clouds
103,Mahajanga,40,MG,2022-07-17 17:46:26,50,-15.7167,46.3167,80.62,8.05,scattered clouds
104,Selikhino,100,RU,2022-07-17 17:46:27,76,50.3672,137.4996,59.79,4.56,overcast clouds
105,Batagay,97,RU,2022-07-17 17:46:27,72,67.6333,134.6333,53.55,1.57,overcast clouds
106,Saint-Georges,40,GD,2022-07-17 17:46:27,74,12.0564,-61.7485,85.68,24.16,scattered clouds
107,Imbituba,100,BR,2022-07-17 17:46:28,78,-28.24,-48.6703,66.85,11.99,overcast clouds
108,Kardailovo,95,RU,2022-07-17 17:46:29,76,51.5386,53.9042,70.43,12.39,overcast clouds
109,Lagoa,52,PT,2022-07-17 17:46:29,89,39.05,-27.9833,70.92,10.67,broken clouds
110,Kupang,0,ID,2022-07-17 17:46:29,81,-10.1667,123.5833,71.02,8.19,clear sky
111,Iquitos,75,PE,2022-07-17 17:44:53,74,-3.7481,-73.2472,84.24,2.3,broken clouds
112,Namatanai,36,PG,2022-07-17 17:46:29,80,-3.6667,152.4333,78.8,9.06,scattered clouds
113,Port Alfred,2,ZA,2022-07-17 17:43:06,33,-33.5906,26.891,73.58,13.98,clear sky
114,Arraial Do Cabo,0,BR,2022-07-17 17:46:30,54,-22.9661,-42.0278,87.76,10.36,clear sky
115,Takoradi,60,GH,2022-07-17 17:46:31,79,4.8845,-1.7554,75.78,11.18,broken clouds
116,Eureka,5,US,2022-07-17 17:42:56,83,40.8021,-124.1637,59.25,8.77,clear sky
117,The Valley,20,AI,2022-07-17 17:46:32,62,18.217,-63.0578,89.46,18.41,few clouds
118,La Paz,20,BO,2022-07-17 17:44:23,23,-16.5,-68.15,62.58,13.8,few clouds
119,Tobermory,79,CA,2022-07-17 17:46:32,76,45.2501,-81.6665,67.87,8.59,broken clouds
120,Cedar City,0,US,2022-07-17 17:42:52,26,37.6775,-113.0619,87.4,0.0,clear sky
121,Baker City,0,US,2022-07-17 17:46:33,44,44.7749,-117.8344,75.6,8.05,clear sky
122,Praia,20,CV,2022-07-17 17:46:33,61,14.9215,-23.5087,82.94,21.85,few clouds
123,Huarmey,13,PE,2022-07-17 17:46:34,69,-10.0681,-78.1522,67.84,10.76,few clouds
124,Kutum,70,SD,2022-07-17 17:46:34,39,14.2,24.6667,83.77,5.95,broken clouds
125,Cockburn Town,40,TC,2022-07-17 17:42:05,66,21.4612,-71.1419,87.76,20.71,scattered clouds
126,Bandarbeyla,13,SO,2022-07-17 17:43:14,80,9.4942,50.8122,76.84,35.77,few clouds
127,Prince Rupert,40,CA,2022-07-17 17:42:02,88,54.3161,-130.3201,55.49,3.44,scattered clouds
128,Hermanus,0,ZA,2022-07-17 17:46:35,81,-34.4187,19.2345,60.8,8.52,clear sky
129,Kruisfontein,1,ZA,2022-07-17 17:46:35,27,-34.0033,24.7314,73.89,9.75,clear sky
130,Barrow,100,US,2022-07-17 17:45:32,93,71.2906,-156.7887,35.62,18.41,overcast clouds
131,Tiarei,69,PF,2022-07-17 17:46:35,71,-17.5333,-149.3333,71.62,15.7,broken clouds
132,Beidao,82,CN,2022-07-17 17:46:36,63,34.5686,105.8933,67.6,1.79,broken clouds
133,Biltine,91,TD,2022-07-17 17:46:36,90,14.5333,20.9167,75.25,18.79,heavy intensity rain
134,Abong Mbang,99,CM,2022-07-17 17:46:37,91,3.9833,13.1833,69.87,2.48,overcast clouds
135,Bonavista,13,CA,2022-07-17 17:46:37,65,48.6499,-53.1147,65.17,19.06,few clouds
136,Bengkulu,73,ID,2022-07-17 17:46:37,90,-3.8004,102.2655,76.44,3.38,broken clouds
137,Iranshahr,0,IR,2022-07-17 17:46:38,29,27.2025,60.6848,102.54,6.91,clear sky
138,La Rioja,37,ES,2022-07-17 17:43:01,27,42.25,-2.5,96.58,5.55,scattered clouds
139,Chokurdakh,16,RU,2022-07-17 17:45:23,67,70.6333,147.9167,40.06,11.45,few clouds
140,Amuntai,100,ID,2022-07-17 17:47:38,95,-2.4177,115.2494,71.38,0.94,overcast clouds
141,Altay,31,CN,2022-07-17 17:44:50,48,47.8667,88.1167,66.9,5.97,scattered clouds
142,Tres Arroyos,33,AR,2022-07-17 17:47:39,32,-38.3739,-60.2798,58.12,21.85,scattered clouds
143,Yumen,98,CN,2022-07-17 17:47:39,37,40.2833,97.2,76.66,10.25,overcast clouds
144,Santo Angelo,63,BR,2022-07-17 17:47:39,66,-28.2992,-54.2631,55.15,0.85,broken clouds
145,Aklavik,40,CA,2022-07-17 17:46:47,100,68.2191,-135.0107,57.2,2.3,scattered clouds
146,Pitimbu,50,BR,2022-07-17 17:47:39,80,-7.4706,-34.8086,77.59,18.14,scattered clouds
147,Tutin,31,RS,2022-07-17 17:47:40,59,42.9903,20.3314,65.03,3.18,scattered clouds
148,Mackay,7,AU,2022-07-17 17:47:40,90,-21.15,149.2,62.69,8.79,clear sky
149,Potsdam,25,DE,2022-07-17 17:47:41,38,52.3989,13.0657,75.87,3.71,scattered clouds
150,San Patricio,82,US,2022-07-17 17:47:41,36,28.017,-97.5169,95.07,12.01,broken clouds
151,Ponta Do Sol,35,PT,2022-07-17 17:46:43,72,32.6667,-17.1,78.12,9.13,scattered clouds
152,Saint-Philippe,87,RE,2022-07-17 17:47:42,78,-21.3585,55.7679,67.59,16.51,light rain
153,Mehamn,40,NO,2022-07-17 17:47:42,76,71.0357,27.8492,55.35,6.91,scattered clouds
154,Treia,13,IT,2022-07-17 17:47:42,46,43.3106,13.3115,85.95,3.87,few clouds
155,Puerto Quijarro,87,BO,2022-07-17 17:47:43,40,-17.7833,-57.7667,82.83,3.98,overcast clouds
156,Morehead,100,US,2022-07-17 17:47:43,78,37.2711,-87.1764,78.55,3.44,overcast clouds
157,Cairns,100,AU,2022-07-17 17:47:43,85,-16.9167,145.7667,67.95,6.91,overcast clouds
158,Margherita,81,IN,2022-07-17 17:47:44,97,27.2833,95.6833,77.76,2.62,broken clouds
159,Isangel,84,VU,2022-07-17 17:47:44,86,-19.55,169.2667,74.19,15.08,broken clouds
160,Ribeira Grande,20,PT,2022-07-17 17:45:34,73,38.5167,-28.7,77.4,18.41,few clouds
161,Brigantine,75,US,2022-07-17 17:43:56,69,39.4101,-74.3646,88.03,8.05,broken clouds
162,Port Hedland,0,AU,2022-07-17 17:47:36,62,-20.3167,118.5667,55.45,5.75,clear sky
163,Ribas Do Rio Pardo,96,BR,2022-07-17 17:47:44,42,-20.4431,-53.7592,80.98,5.48,overcast clouds
164,Ostrovnoy,38,RU,2022-07-17 17:47:42,67,68.0531,39.5131,61.07,11.32,scattered clouds
165,Sanary-Sur-Mer,0,FR,2022-07-17 17:47:45,74,43.1178,5.8001,87.64,4.0,clear sky
166,Esperance,100,AU,2022-07-17 17:47:46,86,-33.8667,121.9,53.26,10.09,light rain
167,Hailar,51,CN,2022-07-17 17:47:46,90,49.2,119.7,61.68,0.27,broken clouds
168,Bastia,0,FR,2022-07-17 17:47:46,76,42.6667,9.3333,84.0,5.75,clear sky
169,Riyadh,89,SA,2022-07-17 17:47:46,11,24.6877,46.7219,100.54,6.4,overcast clouds
170,Zyryanka,42,RU,2022-07-17 17:47:47,70,65.75,150.85,50.25,0.78,scattered clouds
171,Saldanha,0,ZA,2022-07-17 17:46:19,93,-33.0117,17.9442,59.05,7.96,clear sky
172,Luderitz,9,NA,2022-07-17 17:47:47,41,-26.6481,15.1594,67.75,5.26,clear sky
173,Talnakh,95,RU,2022-07-17 17:46:28,71,69.4865,88.3972,58.21,3.85,overcast clouds
174,Chegdomyn,71,RU,2022-07-17 17:47:48,96,51.1167,133.0167,58.57,2.66,broken clouds
175,Mamakan,100,RU,2022-07-17 17:47:48,96,57.8161,114.0028,57.06,1.79,overcast clouds
176,Port Elizabeth,0,ZA,2022-07-17 17:47:49,52,-33.918,25.5701,76.1,2.3,clear sky
177,Hithadhoo,100,MV,2022-07-17 17:45:27,90,-0.6,73.0833,76.91,28.27,overcast clouds
178,Pochutla,100,MX,2022-07-17 17:45:54,55,15.7432,-96.4661,88.83,4.83,overcast clouds
179,Mayo,0,US,2022-07-17 17:43:07,78,38.8876,-76.5119,87.67,8.05,clear sky
180,San Mateo Ixtatan,26,GT,2022-07-17 17:47:49,50,15.8319,-91.4781,65.14,6.82,scattered clouds
181,Fortuna,37,US,2022-07-17 17:47:50,76,40.5982,-124.1573,58.98,8.68,scattered clouds
182,Mitchell,100,US,2022-07-17 17:47:50,83,43.7094,-98.0298,75.18,4.61,overcast clouds
183,Matara,100,LK,2022-07-17 17:46:12,85,5.9485,80.5353,79.0,9.06,overcast clouds
184,Marawi,100,PH,2022-07-17 17:47:50,93,7.9986,124.2928,69.35,3.04,overcast clouds
